Reporting Period:,2023-02-15 to 2023-03-04
Report Type:,Daily Campaign Performance
Time of Report:,Sun Mar 05 2023 14:46:25 GMT+0800


Date,Account reached,Impression,Clicks,Spend,CPM,CPC
2023-02-15,78,16704,4,$80.94,$4.85,$20.23
2023-02-16,79,20498,7,$100.24,$4.89,$14.32
2023-02-17,84,17984,12,$100.34,$5.58,$8.36
2023-02-18,76,14623,10,$100.42,$6.87,$10.04
2023-02-19,79,18601,13,$101.01,$5.43,$7.77
2023-02-20,70,13615,6,$105.02,$7.71,$17.50
2023-02-21,70,10718,4,$109.53,$10.22,$27.38
2023-02-22,80,17114,8,$98.83,$5.78,$12.35
2023-02-23,79,17978,6,$107.95,$6.00,$17.99
2023-02-24,83,16843,9,$100.96,$5.99,$11.22
2023-02-25,71,16258,6,$106.78,$6.57,$17.80
2023-02-26,78,14502,4,$106.67,$7.36,$26.67
2023-02-27,77,15531,7,$103.78,$6.68,$14.83
2023-02-28,79,15813,6,$102.43,$6.48,$17.07
2023-03-01,75,13633,10,$102.77,$7.54,$10.28
2023-03-02,85,14347,5,$103.80,$7.23,$20.76
2023-03-03,81,12272,6,$105.00,$8.56,$17.50
2023-03-04,84,14839,10,$104.87,$7.07,$10.49
